threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy
0.26000000000000006,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.26100000000000007,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.26200000000000007,20,0,10,0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.8,0.5
0.26300000000000007,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.26400000000000007,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.26500000000000007,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.26600000000000007,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.26700000000000007,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.26800000000000007,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.2690000000000001,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.2700000000000001,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.2710000000000001,20,1,9,0,0.7,0.6896551724137931,1.0,0.1,0.8163265306122449,0.55
0.2720000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2730000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2740000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2750000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2760000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2770000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2780000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
0.2790000000000001,20,2,8,0,0.7333333333333333,0.7142857142857143,1.0,0.2,0.8333333333333333,0.6
